run_accession	fastq_ftp	fastq_bytes	library_strategy	sample_title
SRR3720338	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/008/SRR3720338/SRR3720338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/008/SRR3720338/SRR3720338_2.fastq.gz	8007311;9031170	AMPLICON	Human sample from Homo sapiens
SRR3720340	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/000/SRR3720340/SRR3720340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/000/SRR3720340/SRR3720340_2.fastq.gz	15816989;18323442	AMPLICON	Human sample from Homo sapiens
SRR3720346	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/006/SRR3720346/SRR3720346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/006/SRR3720346/SRR3720346_2.fastq.gz	14202425;16591076	AMPLICON	Human sample from Homo sapiens
SRR3720348	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/008/SRR3720348/SRR3720348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/008/SRR3720348/SRR3720348_2.fastq.gz	9772780;11531268	AMPLICON	Human sample from Homo sapiens
SRR3720349	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/009/SRR3720349/SRR3720349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/009/SRR3720349/SRR3720349_2.fastq.gz	15874991;16814111	AMPLICON	Human sample from Homo sapiens
SRR3720350	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/000/SRR3720350/SRR3720350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/000/SRR3720350/SRR3720350_2.fastq.gz	13761554;17292145	AMPLICON	Human sample from Homo sapiens
SRR3720352	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/002/SRR3720352/SRR3720352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/002/SRR3720352/SRR3720352_2.fastq.gz	13223911;16560806	AMPLICON	Human sample from Homo sapiens
SRR3720358	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/008/SRR3720358/SRR3720358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/008/SRR3720358/SRR3720358_2.fastq.gz	14303161;22056011	AMPLICON	Human sample from Homo sapiens
SRR3720359	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/009/SRR3720359/SRR3720359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/009/SRR3720359/SRR3720359_2.fastq.gz	13468730;15558435	AMPLICON	Human sample from Homo sapiens
SRR3720360	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/000/SRR3720360/SRR3720360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/000/SRR3720360/SRR3720360_2.fastq.gz	11511597;14819487	AMPLICON	Human sample from Homo sapiens
SRR3720361	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/001/SRR3720361/SRR3720361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/001/SRR3720361/SRR3720361_2.fastq.gz	11078735;12310721	AMPLICON	Human sample from Homo sapiens
SRR3720365	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/005/SRR3720365/SRR3720365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/005/SRR3720365/SRR3720365_2.fastq.gz	21113759;27255998	AMPLICON	Human sample from Homo sapiens
SRR3720369	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/009/SRR3720369/SRR3720369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/009/SRR3720369/SRR3720369_2.fastq.gz	16294300;20954550	AMPLICON	Human sample from Homo sapiens
SRR3720373	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/003/SRR3720373/SRR3720373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/003/SRR3720373/SRR3720373_2.fastq.gz	15934093;20515990	AMPLICON	Human sample from Homo sapiens
SRR3720374	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/004/SRR3720374/SRR3720374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/004/SRR3720374/SRR3720374_2.fastq.gz	11821651;15814557	AMPLICON	Human sample from Homo sapiens
SRR3720378	ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/008/SRR3720378/SRR3720378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/008/SRR3720378/SRR3720378_2.fastq.gz	12266996;13928319	AMPLICON	Human sample from Homo sapiens
SRR4457867	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/007/SRR4457867/SRR4457867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/007/SRR4457867/SRR4457867_2.fastq.gz	13019361;13852635	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457868	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/008/SRR4457868/SRR4457868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/008/SRR4457868/SRR4457868_2.fastq.gz	13076168;14403658	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457869	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/009/SRR4457869/SRR4457869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/009/SRR4457869/SRR4457869_2.fastq.gz	11882584;12311398	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
SRR4457870	ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/000/SRR4457870/SRR4457870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/000/SRR4457870/SRR4457870_2.fastq.gz	13978991;14353865	AMPLICON	MIMS Environmental/Metagenome sample from human metagenome
