name,cv_f1_mean,cv_f1_std,train_f1,overfit_gap
MLP,0.8562540249170243,0.02870984064270117,0.9798261248027855,0.12357209988576123
LogisticRegression,0.7944714354757783,0.03173825689403296,0.8254706324571703,0.030999196981392085
SVC_RBF,0.7539662067783569,0.031215826010078628,0.8898033386524435,0.13583713187408664
GradientBoosting,0.7444271891535539,0.038247624942176595,1.0,0.2555728108464461
ExtraTrees,0.744368161188855,0.04135444967817621,1.0,0.25563183881114504
RandomForest,0.7295497724023586,0.04192903242666345,1.0,0.27045022759764137
KNN,0.7047034543412649,0.04067885941601727,0.7924215701993479,0.08771811585808298
DecisionTree,0.6755325038308141,0.03983239654408803,0.8802213688830789,0.2046888650522648
AdaBoost,0.6381384360082195,0.05442898844439196,0.7012237043717656,0.06308526836354611
GaussianNB,0.6012571453959937,0.03801922533925245,0.6223393157480147,0.02108217035202098
