,Control,Endometriosis,PCOS,highest_in
Firmicutes,0.38358956698672736,-0.34884391990730795,-0.3584369587671985,Control
Bacteroidetes,-0.42677522704538634,0.4150179794887205,0.3828796996117936,Endometriosis
Proteobacteria,-0.4750096228373905,0.43096601605695284,0.444464056467322,PCOS
Bacteroides,-0.43420573323376416,0.4470478096445443,0.3748746304608113,Endometriosis
Lactobacillus,0.6737319220131703,-0.689486830867736,-0.5841386192593262,Control
Faecalibacterium,0.5253841709742603,-0.45233140201641,-0.5059951416034598,Control
Bifidobacterium,0.4851651887103187,-0.4600549979521882,-0.4422106833124089,Control
beta_glucuronidase,-0.49969597200565463,0.4967803175844354,0.441882307105191,Endometriosis
shannon_diversity,0.3691474646483789,-0.0801422059631965,-0.49610747293385027,Control
FB_ratio,1.7313162897811736,1.4008717850902006,1.181611368076761,Control
BL_ratio,2.2127109748513245,53.889943511246805,11.842963052067283,Endometriosis
Fae_Bact_ratio,0.7661067000571795,0.4546846497716895,0.33614783939089815,Control
BG_Lacto_ratio,3.20160675107339,79.56791302742312,19.611794299776847,Endometriosis
dysbiosis_index,1.9000934154643967,4.5772867580808505,5.866747865830791,PCOS
