,Control,Endometriosis,highest_in,mannwhitney_p,significant_p<0.05
Firmicutes,62.65663996668141,66.84384364928043,Endometriosis,0.16794634525806262,False
Bacteroidetes,10.10647678408484,11.351460662664689,Endometriosis,0.8007362579342269,False
Proteobacteria,9.635123081084137,12.19230151546005,Endometriosis,0.017828480197198977,True
Actinobacteriota,11.886765904888142,6.901396528016969,Control,0.03962303821146651,True
Desulfobacterota,0.19470415470030022,0.0988478015852199,Control,0.004635515376952729,True
Bacteroides,3.154616764569685,4.45596185688578,Endometriosis,0.8153468814344073,False
Lactobacillus,2.0964632980876274,3.941628370743694,Endometriosis,0.8696883864295456,False
Faecalibacterium,1.6584666788342564,1.2165635642994506,Control,0.06192871107238571,False
Bifidobacterium,4.492373936123382,2.4943183464378182,Control,0.04205038896353193,True
Prevotella,2.6870454001378885,2.7570751970043235,Endometriosis,0.6852027554683862,False
Ruminococcus,2.6139858920617387,2.970117293872576,Endometriosis,0.0402402653238118,True
Akkermansia,2.384242938143131,0.7368244912062096,Control,0.030928998041796076,True
Escherichia_coli,0.24223782208580324,0.30112248022906357,Endometriosis,0.07814839003465937,False
Collinsella,5.2680417963730335,1.9198455828397736,Control,0.0007705452241096312,True
Roseburia,0.3087556952876362,0.16682625936023193,Control,0.013034099475513863,True
Blautia,3.958681799239465,3.6705887996979483,Control,0.14849099899261597,False
Alistipes,0.866478542534652,0.7666721525560198,Control,0.005399363685798591,True
Parabacteroides,0.12422235823727175,0.28194604014620067,Endometriosis,0.506458666991954,False
Desulfovibrio,0.17673585868941188,0.09582286902342231,Control,0.013678338982340391,True
Sutterella,0.4861862343802599,0.6220997582754444,Endometriosis,0.7321649607433935,False
beta_glucuronidase,-0.02321380272019893,0.02148142938287077,Endometriosis,0.7210514522088765,False
