,mean_abs_shap
Bacteroides,0.1354244141920174
shannon_diversity,0.09025062512619568
Bifidobacterium,0.057253455324791376
Firmicutes,0.04160701677839032
Bacteroidetes,0.03404388093858
Desulfovibrio,0.03291140399354221
Desulfobacterota,0.025595557908292443
Lactobacillus,0.015703229148775855
Faecalibacterium,0.014146901545268093
Collinsella,0.0002001203153107409
Ruminococcus,9.835646915712078e-05
Sutterella,8.452690703029222e-05
Escherichia_coli,8.114104702758014e-05
Prevotella,7.443158238118694e-05
Actinobacteriota,6.657230954799555e-05
Proteobacteria,5.74603900277006e-05
Alistipes,2.6629088610239265e-05
Blautia,1.7021082859542604e-05
Akkermansia,0.0
Roseburia,0.0
Parabacteroides,0.0
