feature,auc_predicts_study,auc_predicts_diagnosis,batch_dominated,risk
shannon_diversity,0.9979777553083923,0.7128342245989305,True,SEVERE
Actinobacteriota,0.9219961240310077,0.6664086687306501,True,SEVERE
Collinsella,0.9069767441860465,0.5608875128998968,True,SEVERE
Desulfobacterota,0.8338178294573644,0.6171310629514963,True,high
Desulfovibrio,0.810077519379845,0.6050051599587203,True,high
Faecalibacterium,0.7679263565891473,0.6104231166150671,True,high
Lactobacillus,0.7577519379844961,0.57765737874097,True,high
Alistipes,0.7553294573643411,0.5485036119711042,True,high
Sutterella,0.7437015503875969,0.6031991744066048,True,
Akkermansia,0.7059108527131783,0.6104231166150671,True,
Blautia,0.687015503875969,0.5521155830753354,True,
Parabacteroides,0.6363856589147286,0.5634674922600619,True,
Bacteroides,0.6337209302325582,0.7167182662538699,False,
Ruminococcus,0.5828488372093024,0.5859133126934984,False,
Proteobacteria,0.5804263565891473,0.5737874097007224,True,
Escherichia_coli,0.5523255813953488,0.5345717234262126,True,
Bifidobacterium,0.5520833333333334,0.5451496388028896,True,
Firmicutes,0.5518410852713178,0.6893704850361198,False,
Bacteroidetes,0.5411821705426356,0.7136222910216719,False,
Prevotella,0.5339147286821706,0.5660474716202271,False,
Roseburia,0.5290697674418605,0.5479876160990712,False,
